MBK番号,標本番号,Family,和名,学名,ラベル産地,採集日
MBK-0299921,FOK-012406,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer ex Houtt.) C.Chr.,高知市仁井田大平山,2001/12/2
MBK-0299915,FOK-012478,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer ex Houtt.) C.Chr.,高知市仁井田大平山,2001/12/2
MBK-0300051,FOK-012773,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer ex Houtt.) C.Chr.,高知市布師田,2002/2/23
MBK-0300479,FOK-013450,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer ex Houtt.) C.Chr.,高知市薊野掛川神社,2002/6/8
MBK-0208349,PRC-00061,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer ex Houtt.) C.Chr.,高知県高知市五台山牧野植物園,2008/6/10
MBK-0299519,YK-0169,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer ex Houtt.) C.Chr.,高知県高知市高知市幸崎,2002/8/26
MBK-0199052,39658,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer ex Houtt.) C.Chr.,高知市大津,2000/11/22
MBK-0235746,FOS-002191,Dennstaedtiaceae,ケブカフモトシダ×イシカグマ,Microlepia marginata (Panzer ex Houtt.) C.Chr. var. yakusimensis H.Ito × M. strigosa (Thunb.) C.Presl,高知県高知市五台山牧野植物園南園,2012/1/11
MBK-0249786,FOS-005618,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer) C.Chr.,高知県高知市五台山 牧野植物園 南園,2013/12/12
MBK-0267131,FOS-008590,Dennstaedtiaceae,フモトシダ,Microlepia marginata (Panzer) C.Chr.,高知県高知市土佐山中切川奈路,2014/10/21
MBK-0259469,FOS-007841,Dennstaedtiaceae,クジャクフモトシダ,Microlepia marginata (Panzer) C.Chr. var. bipinnata Makino,高知県高知市五台山鳴谷,2014/10/20
MBK-0117086,FOK-607655,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,土佐郡土佐山村陰山,2002/7/10
MBK-0145310,4344,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,,1995/8/18
MBK-0137875,FOK-064088,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知市玉島,2001/12/16
MBK-0020581,94-147,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山,1994/8/5
MBK-0020580,94-176,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山,1994/8/5
MBK-0020579,94-181,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山,1994/8/5
MBK-0020577,1680,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山唐谷,1987/1/18
MBK-0019974,M75-562,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山長江,1975/10/30
MBK-0020575,1158,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市一宮（大谷）,1985/6/9
MBK-0126718,FOK-600102,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知市五台山,2001/8/19
MBK-0171033,166,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市 鹿児,2001/10/9
MBK-0298204,FOK-000593,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知市鏡大利,2001/9/28
MBK-0300457,FOK-013180,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知市治国谷,2002/4/14
MBK-0300877,FOK-019788,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,吾川郡春野町甲殿菜切,2001/8/5
MBK-0300874,FOK-019607,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知市桂浜,2001/8/5
MBK-0215522,FOS-000225,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山,2009/8/26
MBK-0247509,FOS-005068,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山 牧野植物園 森の小径,2012/10/24
MBK-0267169,FOS-008629,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市鏡竹奈呂,2014/10/25
MBK-0309285,FOS-011160,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市一宮,2016/9/26
MBK-0207420,PRC-00058,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知県高知市五台山牧野植物園　園内,2008/6/10
MBK-0198781,39663,Dennstaedtiaceae,イシカグマ,Microlepia strigosa (Thunb.) C.Presl,高知市大津,2000/11/22
MBK-0298270,FOK-000287,Dennstaedtiaceae,アイフジシダ,Monachosorum ×flagellare (Maxim. ex Makino) Hayata,高知市穴川上流,2001/9/2
MBK-0020602,M71-057,Dennstaedtiaceae,アイフジシダ,Monachosorum flagellare (Maxim. ex Makino) Hayata,高知県土佐郡土佐山村工石山,1971/7/6
MBK-0053989,FOK-608124,Dennstaedtiaceae,フジシダ,Monachosorum maximowiczii (Baker) Hayata,土佐郡土佐山村工石山山頂,2003/7/20
MBK-0144678,3532,Dennstaedtiaceae,フジシダ,Monachosorum maximowiczii (Baker) Hayata,工石山,1986/9/12
MBK-0189419,s.n.,Dennstaedtiaceae,オオフジシダ,Monachosorum nipponicum Makino,土佐工石山（高知県土佐郡土佐山村）,不明
MBK-0298436,FOK-002190,Dennstaedtiaceae,オオフジシダ,Monachosorum nipponicum Makino,高知市工石山,2001/10/20
MBK-0001103,20167,Dennstaedtiaceae,ワラビ,Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex Hell.,高知県高知市筆山から皿が峰,2000/7/7
MBK-0020674,8913,Dennstaedtiaceae,ワラビ,Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Underw. ex Hell.,高知県高知市一宮（大坂峠）,1992/10/11
MBK-0257410,FOS-007300,Dennstaedtiaceae,ワラビ,Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Undrew. ex Hell.,高知県高知市鏡大河内,2014/4/26
MBK-0270100,FOS-009385,Dennstaedtiaceae,ワラビ,Pteridium aquilinum (L.) Kuhn var. latiusculum (Desv.) Undrew. ex Hell.,高知県高知市土佐山都網新屋敷,2015/5/10
MBK-0037870,1869,Lindsaeaceae,エダウチホングウシダ,Lindsaea chienii Ching,高知市朝倉神社,不明
MBK-0252640,FOS-005991,Lindsaeaceae,エダウチホングウシダ,Lindsaea chienii Ching,高知県高知市神田 和霊神社の西,2014/4/11
MBK-0231255,2001-001,Lindsaeaceae,エダウチホングウシダ,Lindsaea chienii Ching,高知県高知市鉢伏山,不明
MBK-0237692,AKI-1503,Lindsaeaceae,エダウチホングウシダ,Lindsaea chienii Ching,高知県高知市潮江山,不明
MBK-0037878,1194,Lindsaeaceae,ウチワホングウシダ,Lindsaea simulans Ching,高知市五台山,1964/2/16
MBK-0037885,40649,Lindsaeaceae,ウチワホングウシダ,Lindsaea simulans Ching,高知市五台山,2001/8/16
MBK-0020671,M74-119,Lindsaeaceae,ウチワホングウシダ,Lindsaea simulans Ching,高知県高知市五台山竹林寺,1974/10/23
MBK-0219489,FOS-000387,Lindsaeaceae,ウチワホングウシダ,Lindsaea simulans Ching,高知県高知市五台山牧野植物園南園,2009/12/3
MBK-0285374,FOS-011857,Lindsaeaceae,ウチワホングウシダ,"Lindsaea simulans Ching, nom. nud.",高知県高知市五台山　竹林寺,2016/2/15
MBK-0202581,99,Lindsaeaceae,ウチワホングウシダ,"Lindsaea simulans Ching, nom. nud.",鹿児山,1932/1/20
MBK-0237688,AKI-1555,Lindsaeaceae,ウチワホングウシダ,"Lindsaea simulans Ching, nom. nud.",高知県高知市五台山,不明
MBK-0266401,s.n.,Lindsaeaceae,ウチワホングウシダ,"Lindsaea simulans Ching, nom. nud.",高知県高知市五台山 竹林寺,1961/6/12
MBK-0328893,FOS-020966,Lindsaeaceae,ウチワホングウシダ,"Lindsaea simulans Ching, nom. nud.",高知県高知市五台山竹林寺,2018/6/14
MBK-0298242,FOK-000377,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市カシハギ　平家の滝,2001/9/22
MBK-0298205,FOK-000590,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市鏡大利,2001/9/28
MBK-0298302,FOK-001006,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市鏡葛山,2001/12/9
MBK-0298455,FOK-001873,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市運動公園,2001/7/28
MBK-0299079,FOK-009682,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市尾立,2002/1/13
MBK-0299276,FOK-010961,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市岩ヶ淵,2002/6/16
MBK-0300129,FOK-012841,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市石立町,2002/3/24
MBK-0300455,FOK-013177,Lindsaeaceae,ホラシノブ,Odontosoria chinensis (L.) J.Sm.,高知市治国谷,2002/4/14
MBK-0117116,FOK-607501,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,土佐郡土佐山村陰山,2001/10/1
MBK-0048068,6814,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市神田石立（八幡宮）,1991/2/17
MBK-0112666,FOK-603847,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知市円行寺,2001/9/16
MBK-0115536,s.n.,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県吾川郡春野町森山下西谷,1978/10/14
MBK-0001105,20157,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市筆山から皿が峰,2000/7/7
MBK-0139262,FOK-800216,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市 蓮台,2001/7/25
MBK-0137912,FOK-012326,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知市深谷町,2001/11/3
MBK-0137895,FOK-013571,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,吾川郡春野町内ノ谷,2002/6/8
MBK-0020677,M79-208,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市五台山（大谷）,1979/6/26
MBK-0020706,94-178,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市五台山,1994/8/5
MBK-0171397,s.n.,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市 六泉寺,1992/10/10
MBK-0142039,617,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知市北山,1983/6/19
MBK-0215523,FOS-000226,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市五台山,2009/8/26
MBK-0257393,FOS-007282,Lindsaeaceae,ホラシノブ,Sphenomeris chinensis (L.) Maxon,高知県高知市鏡小浜,2014/4/18
MBK-0136841,FOK-614417,Davalliaceae,シノブ,Davallia mariesii T.Moore ex Baker,高知県高知市 清水川,2005/11/5
MBK-0120888,FOK-072884,Davalliaceae,シノブ,Davallia mariesii T.Moore ex Baker,高知県高知市 ササガトウ,2005/6/5
MBK-0255987,FOS-006775,Davalliaceae,シノブ,Davallia mariesii T.Moore ex Baker,高知県高知市 三宝山,2014/6/23
MBK-0199268,35579,Davalliaceae,シノブ,Davallia mariesii T.Moore ex Baker,土佐郡土佐山村高川,2000/7/24
MBK-0199251,39689,Davalliaceae,シノブ,Davallia mariesii T.Moore ex Baker,土佐郡鏡村サコ屋敷,2000/12/4
MBK-0169107,FOK-064118,Nephrolepidaceae,タマシダ,Nephrolepis cordifolia (L.) C.Presl,高知市衣ヶ島,2001/12/16
MBK-0251383,FOS-005724,Nephrolepidaceae,タマシダ,Nephrolepis cordifolia (L.) C.Presl,高知県高知市 仁井田海岸,2014/2/11
MBK-0267239,FOS-008666,Hymenophyllaceae,ツルホラゴケ,Crepidomanes auriculatum (Blume) K.Iwats.,高知県高知市鏡竹奈路 平家の滝,2014/11/4
MBK-0139778,FOK-801229,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県土佐山村 城,2002/5/3
MBK-0139776,FOK-801206,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,土佐郡鏡村違野,2002/4/7
MBK-0139736,FOK-801288,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知市針原,2002/5/4
MBK-0104358,FOK-001411,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,土佐郡鏡村平家の滝,2002/6/9
MBK-0111248,s.n.,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県高知市（旧 土佐山村）七ツ淵,1964/11/18
MBK-0115542,s.n.,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県吾川郡春野町弘岡下根木谷山北,1978/12/14
MBK-0139104,FOK-000953,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,土佐郡鏡村白岩,2001/12/5
MBK-0139277,FOK-800327,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,吾川郡春野町治国谷,2001/7/28
MBK-0139132,FOK-001291,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,土佐郡鏡村本村,2002/5/10
MBK-0298720,FOK-001257,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知市鏡吉原手水,2002/4/23
MBK-0257378,FOS-007267,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県高知市鏡小浜,2014/4/18
MBK-0049943,M41-107,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県高知市,1941/5/1
MBK-0019997,M41-086,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県高知市一宮,1941/5/23
MBK-0020075,967,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県高知市一宮　[(一宮神社裏)大谷],1985/5/9
MBK-0248259,9503,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県高知市七ツ渕,1952/12/25
MBK-0248358,9518,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県土佐郡土佐山村 (現 高知市) 平石 - 高川,1953/3/29
MBK-0299803,YK-0375,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知県高知市土佐山,不明
MBK-0197664,33077,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,高知市重倉,1985/4/29
MBK-0197663,39670,Hymenophyllaceae,アオホラゴケ,Crepidomanes latealatum (Bosch) Copel.,土佐郡鏡村今井,2000/12/4
MBK-0166177,s.n.,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知県高知市 介良鉢伏山,2001/1/22
MBK-0165459,6884,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知県高知市 初月,1991/3/10
MBK-0298690,FOK-001414,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知市平家の滝,2002/6/9
MBK-0298656,FOK-001503,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知市樽の滝,2002/6/12
MBK-0257380,FOS-007269,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知県高知市鏡小浜,2014/4/18
MBK-0267132,FOS-008591,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知県高知市土佐山中切川奈路,2014/10/21
MBK-0299843,YK-0415,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知県高知市筆山,1966/10/22
MBK-0197767,33075,Hymenophyllaceae,ウチワゴケ,Crepidomanes minutum (Blume) K.Iwats.,高知市重倉,1985/4/29
MBK-0115541,s.n.,Hymenophyllaceae,コウヤコケシノブ,Hymenophyllum barbatum (Bosch) Baker,高知県吾川郡春野町森山星神社,1978/12/30
MBK-0248154,9840,Hymenophyllaceae,コウヤコケシノブ,Hymenophyllum barbatum (Bosch) Baker,高知県土佐郡土佐山村 (現 高知市土佐山) 網川,1953/4/19
MBK-0195617,6138,Hymenophyllaceae,コウヤコケシノブ,Hymenophyllum barbatum (Bosch) Baker,高知市介良本村,1976/1/11
MBK-0199154,7959,Hymenophyllaceae,コウヤコケシノブ,Hymenophyllum barbatum (Bosch) Baker,土佐郡鏡村柿の又,1977/3/13
MBK-0199188,33045,Hymenophyllaceae,コウヤコケシノブ,Hymenophyllum barbatum (Bosch) Baker,土佐郡土佐山村仏山,1985/4/29
MBK-0104406,FOK-002185,Hymenophyllaceae,ホソバコケシノブ,Hymenophyllum polyanthos (Sw.) Sw.,土佐郡土佐山村工石山,2001/10/20
MBK-0267182,FOS-008642,Hymenophyllaceae,ホソバコケシノブ,Hymenophyllum polyanthos (Sw.) Sw.,高知県高知市鏡柿ノ又中山,2014/10/26
MBK-0199282,33036,Hymenophyllaceae,ホソバコケシノブ,Hymenophyllum polyanthos (Sw.) Sw.,土佐郡土佐山村西川の奥,1985/4/29
MBK-0101679,FOK-801707,Hymenophyllaceae,セイタカホラゴケ,Vandenboschia ×quelpaertensis (Nakai) comb. ined.,土佐郡鏡村平家の滝,2002/6/9
MBK-0285269,FOS-011686,Hymenophyllaceae,ツルホラゴケ,Vandenboschia auriculata (Blume) Copel.,高知県高知市鏡　平家の滝,2017/3/23
MBK-0298411,FOK-002292,Hymenophyllaceae,ハイホラゴケ,Vandenboschia kalamocarpa (Hayata) Ebihara,高知市七ツ淵,2002/1/12
MBK-0248361,9546,Hymenophyllaceae,ハイホラゴケ,Vandenboschia kalamocarpa (Hayata) Ebihara,高知県土佐郡土佐山村 (現 高知市) 城 - 樫山峠,1953/3/29
MBK-0197772,1367,Hymenophyllaceae,ハイホラゴケ,Vandenboschia kalamocarpa (Hayata) Ebihara,高知市筆山,1964/7/31
MBK-0197796,14314,Hymenophyllaceae,ハイホラゴケ,Vandenboschia kalamocarpa (Hayata) Ebihara,土佐郡土佐山村桑尾?平石,1967/4/30
MBK-0197773,38255,Hymenophyllaceae,ハイホラゴケ,Vandenboschia kalamocarpa (Hayata) Ebihara,土佐郡鏡村貞永?杉谷,1986/11/2
MBK-0141454,351,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知市円行寺,1982/10/16
MBK-0048094,6749,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知県高知市神田（高座）,1991/2/17
MBK-0001107,20158,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知県高知市筆山から皿が峰,2000/7/7
MBK-0139264,FOK-800215,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知県高知市 蓮台,2001/7/25
MBK-0137814,FOK-011562,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知市西久万,2001/7/1
MBK-0137777,FOK-011445,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知市吉野～鷲尾山,2001/6/13
MBK-0176416,190,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知県高知市 ツヅキ島,不明
MBK-0176388,298,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知県高知市 横浜病院西,不明
MBK-0032786,4545,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知市円行寺下組,1974/12/8
MBK-0136817,FOK-019721,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知市桂浜,2001/8/5
MBK-0299929,FOK-011866,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知市仁井田大平山,2001/9/22
MBK-0257383,FOS-007272,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知県高知市鏡小浜,2014/4/18
MBK-0267119,FOS-008578,Gleicheniaceae,コシダ,Dicranopteris linearis (Burm.f.) Underw.,高知県高知市土佐山中切川奈路,2014/10/21
MBK-0298279,FOK-000239,Gleicheniaceae,ウラジロ,Diplopterygium glaucum (Houtt.) Nakai,高知市穴川樽ノ滝,2001/7/7
MBK-0300469,FOK-013222,Gleicheniaceae,ウラジロ,Diplopterygium glaucum (Houtt.) Nakai,高知市苅松神社,2002/5/11
MBK-0198636,2263,Gleicheniaceae,ウラジロ,Diplopterygium glaucum (Houtt.) Nakai,高知市五台山,1967/9/6
MBK-0115592,s.n.,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知県吾川郡春野町森山星神社,1978/12/30
MBK-0001106,20152,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知県高知市筆山から皿が峰,2000/7/7
MBK-0139267,FOK-800214,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知県高知市 蓮台,2001/7/25
MBK-0138978,FOK-001689,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,土佐郡土佐山村,2001/7/14
MBK-0139037,FOK-001862,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,土佐郡土佐山村運動公園,2001/7/28
MBK-0137810,FOK-011602,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知市神田トンネル北,2001/7/1
MBK-0171395,s.n.,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知県高知市 六泉寺,1992/10/10
MBK-0136813,FOK-019722,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知市桂浜,2001/8/5
MBK-0136803,FOK-020152,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,吾川郡春野町甲殿,2002/6/28
MBK-0142446,1829,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知市幸崎町,1984/6/9
MBK-0257398,FOS-007288,Gleicheniaceae,ウラジロ,Gleichenia japonica Spreng.,高知県高知市鏡大河内,2014/4/26
MBK-0298268,FOK-000298,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市穴川上流,2001/9/2
MBK-0298229,FOK-000414,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市カシハギ　平家の滝,2001/9/22
MBK-0298345,FOK-000767,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市土佐山中切,2001/11/4
MBK-0298330,FOK-000838,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市鏡敷ノ山,2001/11/27
MBK-0298475,FOK-001673,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市(旧土佐山村),2001/7/14
MBK-0298461,FOK-001857,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市運動公園,2001/7/28
MBK-0298392,FOK-002676,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市土佐山梶谷日ノ浦,2002/6/15
MBK-0299932,FOK-011684,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知市土佐塾高校,2001/7/29
MBK-0299876,YK-0449,Thelypteridaceae,ヒメワラビ,Macrothelypteris torresiana (Gaudich.) Ching var. calvata (Baker) Holttum,高知県高知市土佐山梶谷,2000/7/24
MBK-0298278,FOK-000242,Thelypteridaceae,ゲジゲジシダ,Phegopteris decursivepinnata (H.C.Hall) Fee,高知市穴川樽ノ滝,2001/7/7
MBK-0298254,FOK-000334,Thelypteridaceae,ゲジゲジシダ,Phegopteris decursivepinnata (H.C.Hall) Fee,高知市本村,2001/9/18
MBK-0298362,FOK-000710,Thelypteridaceae,ゲジゲジシダ,Phegopteris decursivepinnata (H.C.Hall) Fee,高知市ヲモダ,2001/10/16
MBK-0298304,FOK-001002,Thelypteridaceae,ゲジゲジシダ,Phegopteris decursivepinnata (H.C.Hall) Fee,高知市鏡葛山,2001/12/9
MBK-0298473,FOK-001675,Thelypteridaceae,ゲジゲジシダ,Phegopteris decursivepinnata (H.C.Hall) Fee,高知市(旧土佐山村),2001/7/14
MBK-0298391,FOK-002677,Thelypteridaceae,ゲジゲジシダ,Phegopteris decursivepinnata (H.C.Hall) Fee,高知市土佐山梶谷日ノ浦,2002/6/15
MBK-0198222,1607,Thelypteridaceae,ゲジゲジシダ,Phegopteris decursivepinnata (H.C.Hall) Fee,土佐郡鏡村雪光山,1966/7/30
MBK-0075074,FOK-062473,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,吾川郡春野町西畑,2003/10/26
MBK-0048045,6776,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,高知県高知市おおなろ園（囲り）,1991/2/17
MBK-0167818,s.n.,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,高知県高知市 蓮台,1991/11/17
MBK-0145303,4372,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,鏡村新宮の森,1995/8/23
MBK-0115582,s.n.,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,高知県吾川郡春野町森山ふるぼ谷,1977/11/13
MBK-0170146,s.n.,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,高知県土佐山村,2000/11/10
MBK-0170152,s.n.,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,高知県土佐山村,2000/11/10
MBK-0145222,5285,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,鏡村坂口,1997/8/20
MBK-0145229,5290,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,鏡村坂口,1997/8/20
MBK-0145234,5363,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,春野村,1998/1/5
MBK-0145239,5364,Thelypteridaceae,ミゾシダ,Stegnogramma pozoi (Lag.) K.Iwats. subsp. mollissima (Fisch. ex Kunze) K.Iwats.,鏡村,1998/1/6
